"鬼","おに","ogre | demon | onispirit of a deceased personogre-like person (i.e. fierce, relentless, merciless, etc.)it (in a game of tag, hide-and-seek, etc.)very | extremely | super-Oni"
"相打ち","あいうち","simultaneously striking one another (in kendo, etc.)draw | tie"
"矢印","やじるし","arrow (symbol)(romantic) interest (for a certain person) | direction (of one's attention, etc.)"
"致命傷","ちめいしょう","fatal wound"
"細胞","さいぼう","cellcell (in an organization, esp. a communist party)"
"眼球","がんきゅう","eyeball"
"報い","むくい","reward | recompense | returnpunishment | retribution"
"借金","しゃっきん","debt | loan | liabilities | borrowing money"
"鍛錬","たんれん","tempering (metal) | annealing | forgingtoughening | disciplining | training"
"運良く","うんよく","luckily"
"夜道","よみち","street at night | making a night journey"
"跡","あと","trace | tracks | mark | signsite | remains | ruinsscarAto"
"屋敷","やしき","residence | estate | grounds | premises | mansionYashiki"
"取り逃がす","とりにがす","to miss (capturing) | to fail to catch | to let slip"
"獲物","えもの","prey | catch | kill | gamespoils | trophy | loot | plunder"
"腹立たしい","はらだたしい","irritating | aggravating | upsetting"
"猪","いのしし","wild boar | wild pigInoshishi"
"剥奪","はくだつ","stripping (of rights, office, etc.) | deprivation | divestiture | forfeit | revocation"
"鼓","つづみ","hand drumTsuzumi"
"縺れる","もつれる","to get entangled | to get tangled | to tangleto have poor control over (one's tongue, feet, etc.) | to trip overto become complicated"
"升","ます","measuring container | measurebox (seating at a theatre, etc.)square on a grid | cell of a gridMasu"
"補う","おぎなう","to supplement | to make up for | to compensate for | to cover (a shortage, loss, etc.) | to fill (e.g. a vacancy)"
"鼓舞","こぶ","encouragement | inspiration | rousing | stirring up | raising (e.g. morale)"
"挫ける","くじける","to be disheartened | to lose heart | to be dispirited | to be crushed (emotionally)to be sprainedto be snapped | to be broken"
"技","わざ","technique | art | skill | move"
"自動","じどう","automaticintransitive verb"
"埋葬","まいそう","burial"
"操る","あやつる","to operate (e.g. a machine) | to handle | to manage | to control | to maneuver | to steerto have a good command of (a language) | to play proficiently (of a musical instrument)to work (a puppet) | to pull the strings of a puppetto manipulate (a person, public opinion, etc.) | to pull the strings | to control from the shadows | to mastermind"
"蜘蛛","くも","spider"
"群れる","むれる","to crowd | to flock | to swarm"
"腹立つ","はらだつ","to get angry"
"任務","にんむ","duty | function | office | mission | task"
"結ばれる","むすばれる","to be tied together | to be fastenedto be wedded | to be joined in marriage | to be united in marriage"
"縛る","しばる","to tie | to bind | to fastento restrict (freedom) | to tie down (with rules, regulations, etc.) | to fetter"
"解毒剤","げどくざい","antidote"
"きちんと","きちんと","properly | accurately | exactly | precisely | regularlyneatly | tidily | orderly"
"失血","しっけつ","loss of blood"
"肺","はい","lung"
"溺れる","おぼれる","to struggle in the water | to sink below the surface and become unable to breathe | to (nearly) drownto indulge in | to lose one's head over something | to be addicted | to wallow in"
"裁判","さいばん","trial | judgement | judgment"
"遭遇","そうぐう","encounter | being confronted with (e.g. difficulty) | meeting with (e.g. accident)"
"出陣","しゅつじん","going into battle | departure for the front"
"天国","てんごく","paradise | heaven | Kingdom of HeavenTengoku"
"託す","たくす","to entrust (someone) with | to leave (a matter) with someone | to place under someone's careto have someone deliver (a message, parcel, etc.) | to send (through someone) | to leave (a message) with someoneto use (something) to express (one's feelings, opinion, etc.) | to express in the form of (something)to use as a pretext"
"初耳","はつみみ","something heard for the first time | hearing something for the first time"
"車庫","しゃこ","garage | carport | depot (trains, buses, etc.)"
"整備","せいび","maintenance | servicingputting in place | establishment | development | preparation | provision | outfitting"
"攪乱","かくらん","disturbance | perturbation | derangement"
"伝達","でんたつ","transmission (e.g. news, chemical signals, electricity) | communication | delivery | conveyance | transfer | relay | propagation | conduction"
"咄嗟に","とっさに","at once | right away | promptly | on the spur of the moment"
"炎","ほのお","flame | blazeflames (of intense emotion, e.g. love, jealousy, anger) | passionHonoo"
"派生","はせい","derivation"
"極める","きわめる","to carry to extremes | to go to the end of somethingto investigate thoroughly | to master"
"絶つ","たつ","to sever | to cut offto suppress | to eradicate | to exterminateto abstain (from) | to give up"
"拝見","はいけん","seeing | looking at"
"火急","かきゅう","urgency | exigency | emergency"
"巨躯","きょく","big frame | large figure | huge body"
"原動力","げんどうりょく","motive power | driving force"
"脆い","もろい","brittle | fragile | weak | frailtender-hearted | sentimental | easily moved"
"廃人","はいじん","cripple | disabled person | invalidHaijin"
"侮辱","ぶじょく","insult | affront | slight | contempt (e.g. of court)"
"障る","さわる","to be harmful to | to hinder | to interfere with | to irritate"
"融合","ゆうごう","agglutination | adhesion | fusion | combination | blending | uniting"
"横転","おうてん","toppling sideways | turning sideways | falling over sidewaysbarrel roll"
"整える","ととのえる","to put in order | to arrange | to tidy up | to straighten | to adjust | to fixto get ready | to prepare | to arrange | to supply | to assemble | to buyto work out (e.g. business deal) | to arrange (e.g. marriage) | to settle"
"手記","しゅき","note | memorandum"
"全うする","まっとうする","to accomplish | to fulfill | to carry out"
"使用人","しようにん","employee | servant"
"物腰","ものごし","manner | demeanour | demeanor | bearing"
"継ぐ","つぐ","to succeed (a person, to a position, etc.) | to inherit | to take over | to followto patch (clothes) | to mend | to repairto add (e.g. charcoal to the fire) | to replenish with | to feed with | to follow up with (e.g. remarks) | to gather (one's breath)"
"皮膚","ひふ","skin"
"参る","まいる","to go | to come | to callto be defeated | to collapse | to dieto be annoyed | to be nonplussedto be madly in loveto visit (shrine, grave)"
"取り乱す","とりみだす","to be upset | to lose one's composure | to lose self-control | to go to pieces | to be shaken up | to break down | to be flustered | to blow one's coolto put in disorder | to mess up | to disturb | to scatter about"
"追跡","ついせき","chase | pursuit | tracking | stalkingfollowing up | tracing"
"嫁","よめ","wife | bride(one's) daughter-in-law"
"修行","しゅぎょう","ascetic practicestraining | practice | discipline | studyShugyou"
"喉","のど","throatsinging voice"
"腹筋","ふっきん","sit-upabdominal muscles | abs"
"譲る","ゆずる","to hand over | to transfer | to turn over | to assign | to convey | to bequeathto give up (e.g. one's seat) | to give wayto yield | to concede | to give ground | to surrenderto sellto postpone | to put off | to defer"
"授かる","さずかる","to be awarded (e.g. a prize) | to be given an award | to receive (e.g. a title)to be gifted or endowed (e.g. with a talent)to be blessed (e.g. with a child)to be initiated (e.g. into a secret)"
"宴会","えんかい","party | banquet | reception | feast | dinner"
"励む","はげむ","to strive | to endeavour | to endeavor | to make an effort | to be zealous"
"証明","しょうめい","proof | verification | certification"
"伝説","でんせつ","tradition | legend | folklore"
"特訓","とっくん","special training | intensive training | crash course"
"滅ぼす","ほろぼす","to destroy | to overthrow | to wreck | to ruin"
"城","しろ","castleShiro"
"奇跡","きせき","miracle | wonder | marvelKiseki"
"審査","しんさ","judging | inspection | examination | investigation | review"
"降参","こうさん","surrender | submission | capitulationbeing defeated (e.g. by a problem) | giving up | giving in"
